,pallets/flask,expressjs/express,django/django
2011-02-19,0,0,14.0
2011-02-20,0,0,4.0
2011-02-21,2,4,12.0
2011-02-22,0,0,4.0
2011-02-23,0,6,3.0
2011-02-24,0,0,2.0
2011-02-25,0,0,5.0
2011-02-26,0,0,7.0
2011-02-27,0,0,5.0
2011-02-28,0,0,4.0
2011-03-01,0,19,23.0
2011-03-02,0,45,6.0
2011-03-03,0,46,19.0
2011-03-04,0,16,11.0
2011-03-05,0,1,2.0
2011-03-06,0,0,2.0
2011-03-07,0,3,6.0
2011-03-08,0,10,4.0
2011-03-09,0,18,7.0
2011-03-10,0,0,4.0
2011-03-11,0,1,0.0
2011-03-12,0,1,0.0
2011-03-13,0,1,0.0
2011-03-14,18,2,12.0
2011-03-15,6,6,29.0
2011-03-16,0,3,10.0
2011-03-17,0,12,10.0
2011-03-18,4,9,4.0
2011-03-19,1,0,3.0
2011-03-20,0,0,3.0
2011-03-21,0,6,1.0
2011-03-22,0,7,9.0
2011-03-23,0,0,4.0
2011-03-24,0,6,5.0
2011-03-25,0,0,1.0
2011-03-26,0,0,6.0
2011-03-27,0,1,1.0
2011-03-28,0,1,16.0
2011-03-29,0,9,1.0
2011-03-30,0,19,17.0
2011-03-31,0,6,2.0
2011-04-01,0,0,2.0
2011-04-02,0,5,39.0
2011-04-03,0,2,2.0
2011-04-04,0,1,3.0
2011-04-05,0,1,2.0
2011-04-06,0,0,4.0
2011-04-07,0,0,1.0
2011-04-08,0,4,0.0
2011-04-09,0,1,1.0
2011-04-10,0,0,0.0
2011-04-11,0,3,2.0
2011-04-12,0,3,0.0
2011-04-13,0,0,1.0
2011-04-14,0,1,0.0
2011-04-15,0,0,1.0
2011-04-16,0,0,0.0
2011-04-17,1,2,7.0
2011-04-18,8,0,4.0
2011-04-19,0,2,3.0
2011-04-20,0,3,12.0
2011-04-21,0,1,1.0
2011-04-22,0,6,25.0
2011-04-23,0,0,3.0
2011-04-24,0,1,2.0
