,vuejs/core,sveltejs/svelte,facebook/react
2023-09-20,0,9.73811430375,5
2023-09-21,1,-0.16794986301562576,6
2023-09-22,1,-0.6782601625359377,5
2023-09-23,0,-0.42723989456249994,2
2023-09-24,0,-0.317135798674999,0
2023-09-25,0,0.7771165861781257,4
2023-09-26,0,-0.26839888426562464,1
2023-09-27,0,-0.18706614055156212,10
2023-09-28,0,-0.14367567894218722,4
2023-09-29,0,-0.11421933837499967,3
2023-09-30,0,-0.024515602535937424,0
2023-10-01,0,0.9868379875000001,0
2023-10-02,0,-0.11109369625000005,9
2023-10-03,0,0.945431686984375,12
2023-10-04,0,1.8631011474640624,13
2023-10-05,0,0.7343374999999999,10
2023-10-06,0,0.7653832499999998,3
2023-10-07,0,-0.23582451250000006,0
2023-10-08,0,-0.14203544624999984,0
2023-10-09,0,-0.10412632551562478,9
2023-10-10,0,-0.08259582378593724,7
2023-10-11,0,-0.061034468015624815,3
2023-10-12,0,-0.051791187317187355,6
2023-10-13,0,-0.0374597143374999,2
2023-10-14,0,-0.017967165551562456,0
2023-10-15,0,-0.008398852535937478,1
2023-10-16,0,0.0,5
2023-10-17,1,0.0,5
2023-10-18,0,1.0,4
2023-10-19,1,7.9,4
2023-10-20,23,0.15499999999999925,4
2023-10-21,8,-0.4885000000000004,3
2023-10-22,1,-0.2936625000000001,0
2023-10-23,1,0.7900832500000006,6
2023-10-24,4,-0.26275851249999954,2
2023-10-25,0,-0.17750654624999965,6
2023-10-26,3,-0.1399798955156247,1
2023-10-27,5,-0.11670155291093717,4
2023-10-28,2,-0.09287588330312475,0
2023-10-29,0,-0.02156086503593744,0
2023-10-30,2,0.98890630375,8
2023-10-31,1,1.890431686984375,11
2023-11-01,0,-0.2533988525359377,7
2023-11-02,2,-0.11850000000000009,18
2023-11-03,2,-0.07766249999999997,6
2023-11-04,0,-0.05744174999999979,0
2023-11-05,0,-0.04539551249999985,0
2023-11-06,6,0.9625822787500001,6
2023-11-07,1,0.868244294484375,13
2023-11-08,0,0.8274645214328125,19
2023-11-09,8,-0.1902977050718751,15
2023-11-10,27,11.9058375,15
2023-11-11,0,-0.26527925000000097,3
2023-11-12,1,1.3100587374999997,2
2023-11-13,2,11.372627541249999,6
2023-11-14,0,7.399725978234375,12
2023-11-15,2,14.259875638198437,7
