,tryghost/ghost,getgrav/grav,WordPress/WordPress
2015-10-25,1,4,3
2015-10-26,3,10,13
2015-10-27,13,8,3
2015-10-28,7,8,18
2015-10-29,4,18,10
2015-10-30,1,13,28
2015-10-31,0,1,16
2015-11-01,3,7,6
2015-11-02,20,9,3
2015-11-03,10,2,7
2015-11-04,8,3,36
2015-11-05,2,3,14
2015-11-06,0,2,12
2015-11-07,0,0,10
2015-11-08,0,0,7
2015-11-09,3,0,16
2015-11-10,2,5,12
2015-11-11,2,4,21
2015-11-12,8,6,9
2015-11-13,0,8,2
2015-11-14,0,0,1
2015-11-15,2,0,2
2015-11-16,10,2,10
2015-11-17,6,12,9
2015-11-18,6,21,41
2015-11-19,4,17,10
2015-11-20,8,11,14
2015-11-21,4,9,1
2015-11-22,3,6,5
2015-11-23,14,3,3
2015-11-24,8,21,3
2015-11-25,3,4,9
2015-11-26,12,10,0
2015-11-27,1,3,0
2015-11-28,0,1,2
2015-11-29,1,0,2
2015-11-30,17,15,2
2015-12-01,18,12,6
2015-12-02,9,9,0
2015-12-03,6,6,5
2015-12-04,9,8,12
2015-12-05,2,2,0
2015-12-06,3,3,34
2015-12-07,9,5,9
2015-12-08,5,2,9
2015-12-09,6,5,4
2015-12-10,14,10,7
2015-12-11,0,10,19
2015-12-12,0,20,16
2015-12-13,0,1,13
2015-12-14,1,1,33
2015-12-15,28,4,11
2015-12-16,5,1,31
2015-12-17,2,4,17
2015-12-18,5,19,12
2015-12-19,1,12,16
2015-12-20,3,9,3
2015-12-21,4,6,13
2015-12-22,1,15,4
2015-12-23,1,8,13
2015-12-24,0,4,3
2015-12-25,0,1,5
2015-12-26,0,1,11
2015-12-27,0,0,2
2015-12-28,3,7,6
2015-12-29,0,2,4
2015-12-30,0,3,6
2015-12-31,0,8,12
2016-01-01,0,0,3
2016-01-02,0,2,2
2016-01-03,3,1,5
2016-01-04,4,10,3
2016-01-05,6,13,9
2016-01-06,4,11,7
2016-01-07,1,20,6
2016-01-08,7,7,9
2016-01-09,9,3,18
2016-01-10,0,8,8
2016-01-11,10,2,8
2016-01-12,28,5,6
2016-01-13,19,1,19
2016-01-14,3,4,12
2016-01-15,5,8,24
2016-01-16,6,0,1
2016-01-17,3,2,9
2016-01-18,4,8,6
2016-01-19,28,26,6
2016-01-20,10,3,8
2016-01-21,2,17,6
2016-01-22,0,15,7
2016-01-23,7,0,5
2016-01-24,0,2,2
2016-01-25,18,13,5
2016-01-26,7,14,12
2016-01-27,0,25,6
2016-01-28,3,21,4
2016-01-29,0,23,1
2016-01-30,0,8,5
2016-01-31,1,6,2
2016-02-01,1,26,2
2016-02-02,11,22,6
2016-02-03,14,5,4
2016-02-04,19,10,3
2016-02-05,13,14,5
2016-02-06,4,1,5
2016-02-07,2,1,17
2016-02-08,46,0,0
2016-02-09,19,2,1
2016-02-10,6,0,2
2016-02-11,13,11,3
2016-02-12,3,5,12
2016-02-13,1,3,5
2016-02-14,9,1,0
2016-02-15,14,7,1
2016-02-16,8,3,14
2016-02-17,11,6,25
2016-02-18,30,14,15
2016-02-19,12,16,11
2016-02-20,2,0,12
2016-02-21,2,0,2
2016-02-22,7,15,13
2016-02-23,3,8,38
2016-02-24,9,5,42
2016-02-25,0,8,15
2016-02-26,0,3,27
2016-02-27,2,0,6
2016-02-28,3,0,20
2016-02-29,1,9,24
2016-03-01,9,16,6
2016-03-02,2,3,11
2016-03-03,4,11,30
2016-03-04,0,7,12
2016-03-05,0,3,14
2016-03-06,0,2,6
2016-03-07,5,13,8
2016-03-08,1,4,9
2016-03-09,0,1,25
2016-03-10,0,6,39
2016-03-11,0,4,1
2016-03-12,1,0,5
2016-03-13,1,0,8
2016-03-14,3,7,12
2016-03-15,7,4,5
2016-03-16,0,5,23
2016-03-17,1,7,8
2016-03-18,1,3,6
2016-03-19,0,1,0
2016-03-20,3,0,0
2016-03-21,12,5,3
2016-03-22,18,2,19
2016-03-23,1,0,16
2016-03-24,7,8,4
2016-03-25,5,0,2
2016-03-26,2,1,0
2016-03-27,0,0,3
2016-03-28,1,0,2
2016-03-29,7,0,1
2016-03-30,4,0,16
2016-03-31,13,12,0
2016-04-01,2,5,1
2016-04-02,1,0,2
2016-04-03,2,0,0
2016-04-04,16,2,2
2016-04-05,2,5,2
2016-04-06,4,8,5
2016-04-07,0,8,2
2016-04-08,30,1,2
2016-04-09,5,1,1
2016-04-10,6,0,4
2016-04-11,6,4,4
2016-04-12,4,10,5
2016-04-13,11,8,9
2016-04-14,26,6,12
2016-04-15,6,0,7
2016-04-16,0,0,8
2016-04-17,0,0,8
2016-04-18,5,3,12
2016-04-19,18,10,5
2016-04-20,7,17,15
2016-04-21,3,5,15
2016-04-22,0,4,12
2016-04-23,0,1,1
2016-04-24,0,0,0
2016-04-25,2,0,0
2016-04-26,16,4,4
2016-04-27,1,8,5
2016-04-28,19,5,4
2016-04-29,1,3,6
2016-04-30,0,1,4
2016-05-01,0,0,8
2016-05-02,1,2,12
2016-05-03,4,3,3
2016-05-04,1,2,5
2016-05-05,6,0,6
2016-05-06,1,0,2
2016-05-07,6,3,1
2016-05-08,17,0,1
2016-05-09,4,2,1
2016-05-10,0,3,12
2016-05-11,34,3,2
2016-05-12,13,5,8
2016-05-13,11,0,6
2016-05-14,3,0,1
2016-05-15,2,0,1
2016-05-16,9,4,6
2016-05-17,9,2,10
2016-05-18,10,2,3
2016-05-19,8,0,7
2016-05-20,23,9,10
2016-05-21,4,0,3
2016-05-22,9,0,38
2016-05-23,10,4,26
2016-05-24,8,4,9
2016-05-25,5,7,17
2016-05-26,0,1,9
2016-05-27,8,3,8
2016-05-28,3,4,1
2016-05-29,2,3,1
2016-05-30,6,11,7
2016-05-31,2,9,3
2016-06-01,9,1,14
2016-06-02,9,2,13
2016-06-03,12,2,3
2016-06-04,7,0,1
2016-06-05,1,0,1
2016-06-06,7,2,12
2016-06-07,6,0,2
2016-06-08,8,0,9
2016-06-09,27,1,11
2016-06-10,25,3,10
2016-06-11,12,2,6
2016-06-12,0,0,3
2016-06-13,16,0,0
2016-06-14,14,1,17
2016-06-15,15,1,11
2016-06-16,6,2,11
2016-06-17,6,2,8
2016-06-18,12,0,3
2016-06-19,1,0,5
2016-06-20,6,2,2
2016-06-21,10,1,5
2016-06-22,3,0,0
2016-06-23,6,0,0
2016-06-24,0,0,0
2016-06-25,0,0,0
2016-06-26,2,0,10
2016-06-27,3,0,2
2016-06-28,7,1,21
2016-06-29,11,1,21
2016-06-30,6,0,11
2016-07-01,1,2,3
2016-07-02,1,0,2
2016-07-03,0,0,0
2016-07-04,2,2,18
2016-07-05,4,1,19
2016-07-06,2,0,14
2016-07-07,1,0,13
2016-07-08,3,0,10
2016-07-09,4,0,9
2016-07-10,0,0,5
2016-07-11,2,6,1
2016-07-12,3,0,6
2016-07-13,1,3,22
2016-07-14,9,7,3
2016-07-15,15,4,1
2016-07-16,0,3,6
2016-07-17,0,0,14
2016-07-18,5,0,12
2016-07-19,6,2,12
2016-07-20,3,4,16
2016-07-21,6,0,8
2016-07-22,7,4,9
2016-07-23,0,0,5
2016-07-24,1,0,0
2016-07-25,2,0,4
2016-07-26,10,0,8
2016-07-27,3,1,11
2016-07-28,6,0,0
2016-07-29,5,0,0
2016-07-30,1,0,0
2016-07-31,3,1,5
2016-08-01,6,1,0
