,filamentphp/filament,thedevdojo/wave,thedevdojo/voyager
2022-01-06,-4.685277938249998,0,0
2022-01-07,-2.10689996385781,0,0
2022-01-08,-2.8799708836531197,0,0
2022-01-09,10.064707373045318,0,0
2022-01-10,15.284625055970317,0,0
2022-01-11,14.483874755175002,0,0
2022-01-12,36.306468310115626,0,0
2022-01-13,6.800698813753123,0,0
2022-01-14,6.536783257926562,0,0
2022-01-15,6.319095018896876,0,0
2022-01-16,39.63106021492813,0,0
2022-01-17,2.4717949863125,0,0
2022-01-18,16.444011852787504,0,0
2022-01-19,-1.0526722424281232,0,0
2022-01-20,-3.47406705502187,0,0
2022-01-21,9.62852429560938,0,0
2022-01-22,1.2156967238609413,0,0
2022-01-23,20.85534069069844,0,0
2022-01-24,10.241861486218749,0,0
2022-01-25,4.470168852564063,0,0
2022-01-26,10.317549968848438,0,0
2022-01-27,11.028702194682815,0,0
2022-01-28,13.907671934856252,0,0
2022-01-29,6.4466446713125,0,0
2022-01-30,9.859970828756252,0,0
2022-01-31,6.752432792996876,0,0
2022-02-01,1.96611727695469,0,0
2022-02-02,15.676273584121876,0,0
2022-02-03,16.689575150509377,0,0
2022-02-04,22.068002823564065,0,0
2022-02-05,1.1602316182312489,0,0
2022-02-06,21.693189450482812,0,0
2022-02-07,36.4005248804375,0,0
2022-02-08,31.247187080626563,0,0
2022-02-09,29.5047326270625,0,0
2022-02-10,25.02992685303906,0,0
2022-02-11,48.99196496654063,0,0
2022-02-12,5.5021725708750004,0,0
2022-02-13,29.424786037221878,0,0
2022-02-14,5.432718788143752,0,0
2022-02-15,7.258557682960945,0,0
2022-02-16,21.11348322768282,0,0
2022-02-17,10.459108833306257,0,0
2022-02-18,2.330960490404692,0,12
2022-02-19,-3.336459078076558,0,0
2022-02-20,0.04541546095156823,0,0
2022-02-21,19.81259610534688,0,0
2022-02-22,11.241815238951565,0,0
2022-02-23,1.5000791710281254,0,8
2022-02-24,28.450078426825,0,0
2022-02-25,3.2532328277640623,0,0
2022-02-26,-1.2719127309859362,0,0
2022-02-27,21.811831752946876,0,0
2022-02-28,17.08228345341719,1,0
2022-03-01,35.63016579979844,0,0
2022-03-02,9.408950680224997,0,0
2022-03-03,21.850341463132814,0,0
2022-03-04,24.16559993883594,0,0
2022-03-05,2.4890616247609394,0,0
2022-03-06,13.376251581181252,0,0
2022-03-07,10.118359161303129,0,0
2022-03-08,7.32162566580938,0,0
2022-03-09,3.850553098620316,0,0
2022-03-10,11.532086966562504,0,0
2022-03-11,45.353965908003126,0,0
2022-03-12,-3.1432791501890627,0,0
2022-03-13,5.873601886781252,0,0
2022-03-14,6.412459599145313,0,0
2022-03-15,11.648661754118756,0,0
2022-03-16,11.36564694827344,0,0
2022-03-17,11.280231209193753,0,0
2022-03-18,-0.7772471817718736,0,0
2022-03-19,0.35556996419531517,0,0
2022-03-20,67.89343713617657,0,0
2022-03-21,6.790165559699997,0,0
2022-03-22,16.417253963234373,0,0
2022-03-23,21.42831339815625,0,0
2022-03-24,28.912375785476566,0,0
2022-03-25,12.877615390476564,0,0
2022-03-26,4.849864059164064,0,0
2022-03-27,-1.937846421654684,0,0
2022-03-28,13.325712062548444,0,0
2022-03-29,12.543283722250006,0,0
2022-03-30,11.80319158936719,0,0
2022-03-31,3.8165894240375016,0,0
2022-04-01,2.667571213482815,0,0
2022-04-02,-2.6880900453203096,0,0
